study_id,year,location_year_name,cluster_id,mda,pcr_n_pos,pcr_n_tested,pcr_prev,pcr_n_pos_1to5y,pcr_n_tested_1to5y,pcr_prev_1to5y,tf_n_pos,tf_n_tested,tf_prev,tf_n_pos_1to5y,tf_n_tested_1to5y,tf_prev_1to5y,ti_n_pos,ti_n_tested,ti_prev,ti_n_pos_1to5y,ti_n_tested_1to5y,ti_prev_1to5y,pgp3_n_pos,pgp3_n_tested,pgp3_mean,pgp3_log10mean,pgp3_log10geomean,pgp3_prev,pgp3_n_pos_1to5y,pgp3_n_tested_1to5y,pgp3_mean_1to5y,pgp3_log10mean_1to5y,pgp3_log10geomean_1to5y,pgp3_prev_1to5y,pgp3_minobs,pgp3_minobs_lab
Kongwa2013,2013,"Kongwa, Tanzania 2013",Kongwa2013-1,1,6,233,2.575107296137339,0,0,NA,42,232,18.103448275862068,30,137,21.897810218978105,18,232,7.758620689655173,15,137,10.948905109489052,79,232,7167.400862068966,2.1485016008724043,140.767241723725,34.05172413793103,42,137,6092.19708029197,2.0054593004562595,101.26498447353562,30.656934306569344,TRUE,Pgp3 obs ≥15
Kongwa2013,2013,"Kongwa, Tanzania 2013",Kongwa2013-2,1,8,251,3.187250996015936,0,0,NA,29,248,11.693548387096774,18,134,13.432835820895523,10,248,4.032258064516129,9,134,6.7164179104477615,101,248,9725.891129032258,2.3561271967330257,227.05297502189055,40.725806451612904,39,134,7639.798507462687,1.933681267272292,85.83833148409718,29.1044776119403,TRUE,Pgp3 obs ≥15
Kongwa2013,2013,"Kongwa, Tanzania 2013",Kongwa2013-3,1,12,174,6.896551724137931,0,0,NA,16,172,9.30232558139535,8,99,8.080808080808081,4,172,2.3255813953488373,1,99,1.0101010101010102,46,172,6211.343023255814,1.8893630005994493,77.5109394378508,26.744186046511626,19,99,4688.666666666667,1.6601204757984758,45.72150061085645,19.19191919191919,TRUE,Pgp3 obs ≥15
Kongwa2013,2013,"Kongwa, Tanzania 2013",Kongwa2013-4,1,0,0,NA,0,0,NA,33,169,19.526627218934912,20,94,21.27659574468085,13,169,7.6923076923076925,10,94,10.638297872340425,72,169,10168.343195266272,2.5016162292335498,317.40680187008377,42.60355029585799,33,94,8367.510638297872,2.241491363750107,174.37786808608817,35.1063829787234,TRUE,Pgp3 obs ≥15
Kongwa2013,2013,"Kongwa, Tanzania 2013",Kongwa2013-5,1,0,152,0,0,0,NA,7,150,4.666666666666667,5,79,6.329113924050633,2,150,1.3333333333333335,2,79,2.5316455696202533,17,150,1337.26,1.2870314723035847,19.365622969941878,11.333333333333332,6,79,1284.4430379746836,1.194640654649811,15.654552400250319,7.59493670886076,TRUE,Pgp3 obs ≥15
Kongwa2013,2013,"Kongwa, Tanzania 2013",Kongwa2013-6,1,5,313,1.5974440894568689,0,0,NA,65,305,21.311475409836063,41,167,24.550898203592812,16,305,5.245901639344262,12,167,7.18562874251497,137,305,10092.298360655737,2.57938286838887,379.6495315946458,44.91803278688525,54,167,7378.892215568862,2.1867557548157026,153.72898325359932,32.33532934131736,TRUE,Pgp3 obs ≥15
Kongwa2013,2013,"Kongwa, Tanzania 2013",Kongwa2013-7,1,0,176,0,0,0,NA,4,175,2.2857142857142856,2,77,2.5974025974025974,1,175,0.5714285714285714,1,77,1.2987012987012987,12,175,980.0457142857143,1.135690641548025,13.66754906223503,6.857142857142858,1,77,416.8961038961039,0.9398649852838534,8.706928643773416,1.2987012987012987,TRUE,Pgp3 obs ≥15
Kongwa2013,2013,"Kongwa, Tanzania 2013",Kongwa2013-8,1,5,127,3.937007874015748,0,0,NA,4,126,3.1746031746031744,1,62,1.6129032258064515,2,126,1.5873015873015872,1,62,1.6129032258064515,37,126,4804.746031746032,2.0244822326401546,105.79916317655098,29.365079365079367,15,62,4430.064516129032,1.80488989538388,63.81016907925595,24.193548387096776,TRUE,Pgp3 obs ≥15
Kongwa2018,2018,"Kongwa, Tanzania 2018",Kongwa2018-0103,0,0,41,0,0,24,0,5,41,12.195121951219512,5,24,20.833333333333336,0,0,NA,0,0,NA,18,41,10123.170731707318,2.4013377659800033,251.96357746319347,43.90243902439025,9,24,9597.208333333334,2.17372936051508,149.18644340213817,37.5,TRUE,Pgp3 obs ≥15
Kongwa2018,2018,"Kongwa, Tanzania 2018",Kongwa2018-0303,0,1,50,2,0,25,0,4,50,8,1,25,4,0,0,NA,0,0,NA,9,50,3671.16,1.28856924228021,19.434315205474462,18,2,25,2034.52,0.765588384505763,5.828923888148433,8,TRUE,Pgp3 obs ≥15
Kongwa2018,2018,"Kongwa, Tanzania 2018",Kongwa2018-0401,0,1,42,2.380952380952381,1,25,4,5,42,11.904761904761903,5,25,20,0,0,NA,0,0,NA,9,41,2934.317073170732,1.5559273315770434,35.968914505222095,21.951219512195124,5,24,2674.9583333333335,1.407188610522987,25.538101606167622,20.833333333333336,TRUE,Pgp3 obs ≥15
Kongwa2018,2018,"Kongwa, Tanzania 2018",Kongwa2018-0602,0,10,44,22.727272727272727,6,24,25,12,44,27.27272727272727,9,24,37.5,0,0,NA,0,0,NA,24,44,12558.272727272728,2.6075642624420174,405.10188352264515,54.54545454545454,12,24,13556.291666666666,2.4547201695616936,284.9181852917249,50,TRUE,Pgp3 obs ≥15
Kongwa2018,2018,"Kongwa, Tanzania 2018",Kongwa2018-0701,0,4,49,8.16326530612245,3,24,12.5,5,49,10.204081632653061,2,24,8.333333333333332,0,0,NA,0,0,NA,4,49,1498.6938775510205,1.0611022623632098,11.510713972779355,8.16326530612245,1,24,1103.1666666666667,0.7173990777709303,5.216738625262874,4.166666666666666,TRUE,Pgp3 obs ≥15
